,date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
2347,2019-10-01 05:00:06+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.549,1.529,1,1,1
4762,2019-10-01 05:06:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.379,1.539,1.519,1,1,1
6953,2019-10-01 05:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.519,1.499,1,1,1
7684,2019-10-01 05:24:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.549,1.509,0,0,1
21264,2019-10-01 07:17:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.349,1.479,1.439,1,1,1
33662,2019-10-01 08:09:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.359,1.489,1.469,1,1,1
34120,2019-10-01 08:09:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.469,1.449,0,1,1
40389,2019-10-01 08:29:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.449,1.429,1,1,1
47615,2019-10-01 08:56:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.329,1.479,1.459,1,1,1
51372,2019-10-01 09:09:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.469,1.429,1,1,1
53114,2019-10-01 09:17:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.459,1.439,1,1,1
53852,2019-10-01 09:19:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.399,1.379,1,1,1
63633,2019-10-01 10:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.459,1.439,1,1,1
65341,2019-10-01 10:01:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.489,1,1,1
66390,2019-10-01 10:06:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.469,1.429,1,1,1
74150,2019-10-01 10:25:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.359,1.499,1.479,1,1,1
80151,2019-10-01 10:51:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.409,1.369,1,1,1
84401,2019-10-01 11:05:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.449,1.429,1,1,1
84881,2019-10-01 11:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.319,1.449,1.429,1,1,1
92945,2019-10-01 11:24:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.419,1.399,1,1,1
93763,2019-10-01 11:25:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.439,1.419,1,1,1
97770,2019-10-01 11:38:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.409,1.389,1,1,1
107662,2019-10-01 12:16:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.399,1.379,1,1,1
116520,2019-10-01 13:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.459,1.439,1,1,1
117559,2019-10-01 13:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.469,1.429,1,1,1
120460,2019-10-01 13:05:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.459,1.419,0,1,1
123399,2019-10-01 13:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.489,1.469,1,1,1
137738,2019-10-01 14:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.429,1.409,1,1,1
139343,2019-10-01 14:09:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.429,1.409,1,1,1
143412,2019-10-01 14:22:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.439,1.399,1,1,1
148324,2019-10-01 14:37:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.419,1.399,1,1,1
149805,2019-10-01 14:41:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.399,1.379,1,1,1
151350,2019-10-01 14:45:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.409,1.369,1,1,1
154416,2019-10-01 14:57:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.409,1.389,0,1,1
159297,2019-10-01 15:17:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.409,1.389,1,0,0
164560,2019-10-01 15:41:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.399,1.379,1,1,1
167433,2019-10-01 16:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.439,1.419,1,1,1
169583,2019-10-01 16:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.449,1.409,1,1,1
171910,2019-10-01 16:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.389,1.369,1,1,1
174611,2019-10-01 16:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.429,1.409,1,1,1
183856,2019-10-01 16:45:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.419,1.399,1,1,1
187007,2019-10-01 17:02:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.449,1.409,1,0,0
189126,2019-10-01 17:07:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.409,1.389,1,1,1
194635,2019-10-01 17:21:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.409,1.389,1,1,1
195173,2019-10-01 17:22:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.429,1.389,1,1,1
200327,2019-10-01 17:38:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.399,1.379,1,1,1
201148,2019-10-01 17:41:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.409,1.369,1,1,1
205894,2019-10-01 18:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,0,1,1
