,date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
4762,2019-10-01 05:06:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.379,1.539,1.519,1,1,1
33662,2019-10-01 08:09:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.359,1.489,1.469,1,1,1
47615,2019-10-01 08:56:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.329,1.479,1.459,1,1,1
53114,2019-10-01 09:17:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.459,1.439,1,1,1
53852,2019-10-01 09:19:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.399,1.379,1,1,1
63633,2019-10-01 10:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.459,1.439,1,1,1
84401,2019-10-01 11:05:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.449,1.429,1,1,1
92945,2019-10-01 11:24:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.419,1.399,1,1,1
97770,2019-10-01 11:38:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.409,1.389,1,1,1
107662,2019-10-01 12:16:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.399,1.379,1,1,1
116520,2019-10-01 13:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.459,1.439,1,1,1
139343,2019-10-01 14:09:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.429,1.409,1,1,1
149805,2019-10-01 14:41:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.399,1.379,1,1,1
167433,2019-10-01 16:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.439,1.419,1,1,1
189126,2019-10-01 17:07:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.409,1.389,1,1,1
200327,2019-10-01 17:38:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.399,1.379,1,1,1
205894,2019-10-01 18:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,0,1,1
216782,2019-10-01 19:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.419,1.399,1,1,1
229564,2019-10-01 19:56:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.419,1.399,1,0,0
231968,2019-10-01 20:20:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.399,1.379,1,1,1
238995,2019-10-01 22:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.319,1.459,1.439,1,1,1
1796,2019-10-02 05:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.379,1.529,1.509,1,1,1
25057,2019-10-02 07:39:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.329,1.469,1.449,1,1,1
46988,2019-10-02 08:47:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.419,1.399,1,1,1
54135,2019-10-02 09:15:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.399,1.379,1,1,1
65160,2019-10-02 10:00:07+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.459,1.439,1,1,1
88594,2019-10-02 11:09:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.449,1.429,1,1,1
95066,2019-10-02 11:23:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.419,1.399,1,1,1
100458,2019-10-02 11:38:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.419,1.399,1,0,0
