,date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
2347,2019-10-01 05:00:06+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.549,1.529,1,1,1
7684,2019-10-01 05:24:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.549,1.509,0,0,1
21264,2019-10-01 07:17:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.349,1.479,1.439,1,1,1
51372,2019-10-01 09:09:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.469,1.429,1,1,1
65341,2019-10-01 10:01:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.489,1,1,1
66390,2019-10-01 10:06:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.469,1.429,1,1,1
80151,2019-10-01 10:51:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.409,1.369,1,1,1
117559,2019-10-01 13:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.469,1.429,1,1,1
120460,2019-10-01 13:05:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.459,1.419,0,1,1
143412,2019-10-01 14:22:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.439,1.399,1,1,1
151350,2019-10-01 14:45:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.409,1.369,1,1,1
169583,2019-10-01 16:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.449,1.409,1,1,1
187007,2019-10-01 17:02:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.449,1.409,1,0,0
195173,2019-10-01 17:22:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.429,1.389,1,1,1
201148,2019-10-01 17:41:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.409,1.369,1,1,1
206817,2019-10-01 18:05:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,0,1,1
218425,2019-10-01 19:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.349,1,1,0
230178,2019-10-01 20:03:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.409,1.349,1,0,0
234246,2019-10-01 20:33:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,1,1,0
240099,2019-10-01 22:01:06+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.449,1.409,1,1,1
3655,2019-10-02 05:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.539,1.519,1,1,1
7540,2019-10-02 05:22:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.539,1.499,0,0,1
24066,2019-10-02 07:33:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.339,1.479,1.439,1,1,1
43320,2019-10-02 08:33:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.329,1.479,1.439,1,0,0
48243,2019-10-02 08:51:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.409,1.369,1,1,1
66830,2019-10-02 10:01:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.469,1.429,1,1,1
82773,2019-10-02 10:51:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.409,1.369,1,1,1
107797,2019-10-02 12:03:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.399,1.359,0,1,1
122448,2019-10-02 13:01:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.459,1.419,1,1,1
139440,2019-10-02 14:03:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.439,1.399,1,1,1
153987,2019-10-02 14:43:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.399,1.359,1,1,1
173717,2019-10-02 16:01:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.439,1.399,1,1,1
192491,2019-10-02 17:03:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.439,1.399,1,0,0
198688,2019-10-02 17:20:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.419,1.379,1,1,1
204880,2019-10-02 17:41:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.409,1.369,1,1,1
206391,2019-10-02 17:46:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.399,1.359,0,1,1
207380,2019-10-02 17:51:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
222071,2019-10-02 19:01:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.349,1,1,0
231109,2019-10-02 19:47:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.399,1.349,1,1,0
235828,2019-10-02 20:26:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.239,1.379,1.339,1,1,1
242042,2019-10-02 22:00:08+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.439,1.399,1,1,1
2493,2019-10-03 05:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.509,1,1,1
7109,2019-10-03 05:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.489,0,0,1
22427,2019-10-03 07:34:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.329,1.469,1.429,1,1,1
31081,2019-10-03 08:03:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.439,1.399,1,1,1
44109,2019-10-03 08:56:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.399,1.359,1,1,1
48722,2019-10-03 09:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,0,1,1
58188,2019-10-03 10:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.449,1.409,1,1,1
75404,2019-10-03 10:51:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,1,1,1
112777,2019-10-03 13:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.449,1.409,1,1,1
129868,2019-10-03 14:03:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.289,1.429,1.389,1,1,1
135846,2019-10-03 14:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.399,1.359,1,1,1
144521,2019-10-03 14:49:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,1,1,1
161837,2019-10-03 16:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.429,1.389,1,1,1
