,date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
6953,2019-10-01 05:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.519,1.499,1,1,1
34120,2019-10-01 08:09:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.469,1.449,0,1,1
40389,2019-10-01 08:29:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.449,1.429,1,1,1
74150,2019-10-01 10:25:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.359,1.499,1.479,1,1,1
84881,2019-10-01 11:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.319,1.449,1.429,1,1,1
93763,2019-10-01 11:25:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.439,1.419,1,1,1
123399,2019-10-01 13:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.489,1.469,1,1,1
137738,2019-10-01 14:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.429,1.409,1,1,1
148324,2019-10-01 14:37:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.419,1.399,1,1,1
154416,2019-10-01 14:57:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.409,1.389,0,1,1
159297,2019-10-01 15:17:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.409,1.389,1,0,0
164560,2019-10-01 15:41:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.399,1.379,1,1,1
171910,2019-10-01 16:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.389,1.369,1,1,1
174611,2019-10-01 16:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.429,1.409,1,1,1
183856,2019-10-01 16:45:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.419,1.399,1,1,1
194635,2019-10-01 17:21:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.409,1.389,1,1,1
215412,2019-10-01 18:50:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.399,1.379,1,1,1
221670,2019-10-01 19:09:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.389,1.369,1,1,1
237035,2019-10-01 21:13:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.379,1.359,1,1,1
242884,2019-10-01 22:05:08+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.439,1.419,1,1,1
7172,2019-10-02 05:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.519,1.499,1,1,1
35980,2019-10-02 08:09:06+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.469,1.449,1,1,1
52774,2019-10-02 09:09:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.459,1.439,0,1,1
71557,2019-10-02 10:17:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.359,1.509,1.489,1,1,1
84225,2019-10-02 10:57:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.319,1.459,1.439,1,1,1
101588,2019-10-02 11:41:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.459,1.439,1,0,0
108030,2019-10-02 12:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.439,1.419,0,1,1
128471,2019-10-02 13:21:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.489,1.469,1,1,1
140040,2019-10-02 14:05:24+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.429,1.409,1,1,1
